bus1,bus2,bus3,id,status,rating_w1_RATEA,rating_w2_RATEA,rating_w3_RATEA,w1_P_MW,w1_Q_Mvar,w1_MVA,w2_P_MW,w2_Q_Mvar,w2_MVA,w3_P_MW,w3_Q_Mvar,w3_MVA,name,flow_source
662,270,463,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2B-PV5-2,not_available
693,325,445,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4A-PV1-2,not_available
697,326,447,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4A-PV3-2,not_available
710,327,365,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4B-PV3-2,not_available
695,328,448,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4A-PV2-2,not_available
706,329,366,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4B-PV1-2,not_available
723,331,455,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5A-PV3-2,not_available
725,332,453,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5A-PV4-2,not_available
738,333,462,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5B-PV4-2,not_available
719,334,456,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5A-PV1-2,not_available
742,335,449,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5B-PV6-2,not_available
727,336,459,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5A-PV5-2,not_available
740,337,460,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5B-PV5-2,not_available
721,338,451,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5A-PV2-2,not_available
729,339,457,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5A-PV6-2,not_available
736,340,452,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5B-PV3-2,not_available
734,342,458,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5B-PV2-2,not_available
732,343,454,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5B-PV1-2,not_available
649,344,387,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2A-PV5-2,not_available
664,345,465,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2B-PV6-2,not_available
660,346,390,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2B-PV4-2,not_available
654,347,467,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2B-PV1-2,not_available
656,348,386,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2B-PV2-2,not_available
690,349,464,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3B-PV6-2,not_available
675,350,477,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3A-PV5-2,not_available
673,351,475,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3A-PV4-2,not_available
641,353,468,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2A-PV1-2,not_available
688,354,474,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3B-PV5-2,not_available
677,355,470,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3A-PV6-2,not_available
682,356,473,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3B-PV2-2,not_available
680,357,471,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3B-PV1-2,not_available
686,358,469,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3B-PV4-2,not_available
667,359,476,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3A-PV1-2,not_available
684,360,478,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3B-PV3-2,not_available
669,361,367,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3A-PV2-2,not_available
714,362,364,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4B-PV5-2,not_available
762,765,782,1,1,230.0,115.0,115.0,,,,,,,,,,SS2-TR4,not_available
768,767,770,1,1,230.0,115.0,115.0,,,,,,,,,,SS2-TR5,not_available
773,772,771,1,1,230.0,115.0,115.0,,,,,,,,,,SS2-TR2,not_available
776,779,778,1,1,230.0,115.0,115.0,,,,,,,,,,SS2-TR3,not_available
785,783,784,1,1,230.0,115.0,115.0,,,,,,,,,,SS2-TR1,not_available
